"udid","time","count","avg_duration"
"104019023","1475308800","1","3167"
"104022999","1475308800","1","187"
"104022827","1475308800","1","47"
"104022094","1475312400","5","869"
"104005228","1475312400","1","165"
"104023160","1475312400","1","2905"
"104023158","1475312400","1","70387"
"104023157","1475312400","2","64416"
"104019211","1475312400","2","2317"
"104022997","1475316000","1","3"
"104020784","1475316000","14","7498"
"104022896","1475316000","3","3826"
"104022094","1475316000","2","301"
"104023159","1475316000","1","797"
"104023158","1475316000","2","567"
"104023140","1475316000","1","10983"
"104023122","1475316000","1","228"
"104022106","1475319600","1","1220"
"103999221","1475319600","1","56063"
"104023122","1475319600","1","1804"
"104023167","1475319600","1","35644"
"104022318","1475319600","1","7"
